trait,value,label
segment_path_length,742.5243852138519,3
segment_eu_length,102.80077820717118,0
segment_eu_length,343.0058308542291,1
segment_eu_length,577.37769267612,2
segment_eu_length,720.3450562057049,3
segment_curvature,1.0711025110508454,0
segment_curvature,1.1102312613977248,1
segment_curvature,1.18926731089438,2
segment_curvature,1.03078986774057,3
segment_insertion_angle,36.14633962599162,0
segment_insertion_angle,32.24513524142802,1
segment_insertion_angle,4.986768924350486,2
segment_path_length,216.27059596776962,0
segment_path_length,223.0269113779068,1
segment_path_length,545.9528793096542,2
segment_path_length,890.3204103708267,3
segment_path_length,450.3406196832657,4
segment_eu_length,201.6035713969373,0
segment_eu_length,212.6805115660577,1
segment_eu_length,394.0012690334893,2
segment_eu_length,679.756574076338,3
segment_eu_length,439.09566155907305,4
segment_curvature,1.0727518092522004,0
segment_curvature,1.0486476157860638,1
segment_curvature,1.3856627432924573,2
segment_curvature,1.3097635893858115,3
segment_curvature,1.0256093582985215,4
segment_insertion_angle,56.48797987013408,0
segment_insertion_angle,15.336110611374778,1
segment_insertion_angle,34.09603978055886,2
segment_insertion_angle,27.110222929074524,3
segment_insertion_angle,3.633068233221828,4
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,148.11017167568207,0
segment_path_length,289.3944424390793,1
segment_path_length,934.0117543935776,2
segment_path_length,516.4188276529312,3
segment_eu_length,137.38267721950973,0
segment_eu_length,269.2452413692766,1
segment_eu_length,679.45934389042,2
segment_eu_length,154.01298646542764,3
segment_curvature,1.0780847678418144,0
segment_curvature,1.0748358669862899,1
segment_curvature,1.3746396495861726,2
segment_curvature,3.353086252689836,3
segment_insertion_angle,56.81687738433229,0
segment_insertion_angle,8.705663493449862,1
segment_insertion_angle,35.17578158407832,2
segment_insertion_angle,2.607158338274729,3
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,41.399494767189026,0
segment_path_length,410.8746713399887,1
segment_path_length,643.0117543935776,2
segment_path_length,796.018288910389,3
segment_eu_length,39.6232255123179,0
segment_eu_length,323.012383663537,1
segment_eu_length,371.2142238654117,2
segment_eu_length,778.9274677400971,3
segment_curvature,1.044828991883029,0
segment_curvature,1.2720090377958162,1
segment_curvature,1.7321851186034007,2
segment_curvature,1.021941479634654,3
segment_insertion_angle,36.126900907613766,0
segment_insertion_angle,22.65262291067077,1
segment_insertion_angle,9.056702887075513,2
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,224.31222611665726,0
segment_path_length,632.8269448876381,1
segment_path_length,864.662512242794,2
segment_eu_length,212.3628969476542,0
segment_eu_length,592.5512636050994,1
segment_eu_length,801.1292030627769,2
segment_curvature,1.0562684411484011,0
segment_curvature,1.067969952570011,1
segment_curvature,1.0793046975907563,2
segment_insertion_angle,34.51630632914606,0
segment_insertion_angle,14.768243674823577,1
segment_insertion_angle,10.404031011708554,2
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,148.35890859365463,0
segment_path_length,395.5071402788162,1
segment_path_length,727.5458060503006,2
segment_path_length,393.75483322143555,3
segment_eu_length,138.95682782792647,0
segment_eu_length,302.00662244394573,1
segment_eu_length,672.9338749089691,2
segment_eu_length,381.63464203345063,3
segment_curvature,1.0676618840016339,0
segment_curvature,1.3095975746433335,1
segment_curvature,1.0811549740287916,2
segment_curvature,1.0317586242260537,3
segment_insertion_angle,58.74076932493389,0
